scenario,filter_id,eps,cover_intervals,cover_overlap,nodes,edges,components,diameter,branch_nodes,cycles
one_pulse,1,0.6414671243465375,8,0.3,8,7,1,7,0,0
one_pulse,2,0.6414671243465375,8,0.3,3,2,1,2,0,0
one_pulse,3,0.6414671243465375,8,0.3,8,6,2,6,0,0
one_pulse,4,0.6414671243465375,8,0.3,6,5,1,5,0,0
one_pulse,5,0.6414671243465375,8,0.3,7,6,1,6,0,0
one_pulse,6,0.6414671243465375,8,0.3,8,7,1,7,0,0
two_pulses,1,0.8345494511345763,8,0.3,8,7,1,7,0,0
two_pulses,2,0.8345494511345763,8,0.3,3,2,1,2,0,0
two_pulses,3,0.8345494511345763,8,0.3,8,7,1,7,0,0
two_pulses,4,0.8345494511345763,8,0.3,8,7,1,7,0,0
two_pulses,5,0.8345494511345763,8,0.3,8,7,1,7,0,0
two_pulses,6,0.8345494511345763,8,0.3,8,6,2,6,0,0
one_pulse_desert,1,0.6425276700995781,8,0.3,8,7,1,7,0,0
one_pulse_desert,2,0.6425276700995781,8,0.3,3,2,1,2,0,0
one_pulse_desert,3,0.6425276700995781,8,0.3,8,7,1,7,0,0
one_pulse_desert,4,0.6425276700995781,8,0.3,7,5,2,5,0,0
one_pulse_desert,5,0.6425276700995781,8,0.3,7,6,1,6,0,0
one_pulse_desert,6,0.6425276700995781,8,0.3,8,7,1,7,0,0
